budget,homepage,id,keywords,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,director,spokenlang,prodcountries,prodcomp
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, ελληνικά, United States of America,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, ελληνικά, Bahamas,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, ελληνικά, Dominica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, 普通话,Jamaica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, 普通话, United States of America,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, 普通话, Bahamas,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, 普通话, Dominica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
132000000,,74,post traumatic stress  disorder new jersey airplane dystopia daughter,en,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",48.572726,28/06/2005,591739379,116,Released,War of the Worlds,6.2,2322,Steven Spielberg,English,United States of America,"['Paramount Pictures', 'DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment']"
140000000,,95,saving the world paris moon cataclysm asteroid,en,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",58.485967,01/07/1998,553799566,151,Released,Armageddon,6.4,2482,Michael Bay,English,United States of America,"['Jerry Bruckheimer Films', 'Touchstone Pictures', 'Valhalla Motion Pictures']"
140000000,,95,saving the world paris moon cataclysm asteroid,en,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",58.485967,01/07/1998,553799566,151,Released,Armageddon,6.4,2482,Michael Bay, Pусский,United States of America,"['Jerry Bruckheimer Films', 'Touchstone Pictures', 'Valhalla Motion Pictures']"
103000000,,98,rome gladiator arena senate roman empire,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",95.301296,01/05/2000,457640427,155,Released,Gladiator,7.9,5439,Ridley Scott,English,United Kingdom,"['DreamWorks SKG', 'Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz']"
103000000,,98,rome gladiator arena senate roman empire,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",95.301296,01/05/2000,457640427,155,Released,Gladiator,7.9,5439,Ridley Scott,English, United States of America,"['DreamWorks SKG', 'Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz']"
150000000,https://www.warnerbros.com/charlie-and-chocolate-factory,118,london england father son relationship chocolate factory worker based on novel,en,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",53.905592,13/07/2005,474968763,115,Released,Charlie and the Chocolate Factory,6.7,3624,Tim Burton,English,Australia,"['Village Roadshow Pictures', 'The Zanuck Company', 'Warner Bros.', 'Tim Burton Productions', 'Plan B Entertainment', 'Theobald Film Productions']"
150000000,https://www.warnerbros.com/charlie-and-chocolate-factory,118,london england father son relationship chocolate factory worker based on novel,en,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",53.905592,13/07/2005,474968763,115,Released,Charlie and the Chocolate Factory,6.7,3624,Tim Burton,English, United Kingdom,"['Village Roadshow Pictures', 'The Zanuck Company', 'Warner Bros.', 'Tim Burton Productions', 'Plan B Entertainment', 'Theobald Film Productions']"
150000000,https://www.warnerbros.com/charlie-and-chocolate-factory,118,london england father son relationship chocolate factory worker based on novel,en,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",53.905592,13/07/2005,474968763,115,Released,Charlie and the Chocolate Factory,6.7,3624,Tim Burton,English, United States of America,"['Village Roadshow Pictures', 'The Zanuck Company', 'Warner Bros.', 'Tim Burton Productions', 'Plan B Entertainment', 'Theobald Film Productions']"
93000000,http://www.lordoftherings.net/,120,elves dwarves orcs middle-earth (tolkien) hobbit,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",138.049577,18/12/2001,871368364,178,Released,The Lord of the Rings: The Fellowship of the Ring,8,8705,Peter Jackson,English,New Zealand,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
93000000,http://www.lordoftherings.net/,120,elves dwarves orcs middle-earth (tolkien) hobbit,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",138.049577,18/12/2001,871368364,178,Released,The Lord of the Rings: The Fellowship of the Ring,8,8705,Peter Jackson,English, United States of America,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
79000000,http://www.lordoftherings.net/,121,elves orcs middle-earth (tolkien) hobbit based on novel,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,18/12/2002,926287400,179,Released,The Lord of the Rings: The Two Towers,8,7487,Peter Jackson,English,New Zealand,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
79000000,http://www.lordoftherings.net/,121,elves orcs middle-earth (tolkien) hobbit based on novel,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,18/12/2002,926287400,179,Released,The Lord of the Rings: The Two Towers,8,7487,Peter Jackson,English, United States of America,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
94000000,http://www.lordoftherings.net,122,elves orcs middle-earth (tolkien) based on novel suspicion,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",123.630332,01/12/2003,1118888979,201,Released,The Lord of the Rings: The Return of the King,8.1,8064,Peter Jackson,English,New Zealand,"['WingNut Films', 'New Line Cinema']"
94000000,http://www.lordoftherings.net,122,elves orcs middle-earth (tolkien) based on novel suspicion,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",123.630332,01/12/2003,1118888979,201,Released,The Lord of the Rings: The Return of the King,8.1,8064,Peter Jackson,English, United States of America,"['WingNut Films', 'New Line Cinema']"
15000000,http://movies.disney.com/spirited-away,129,witch parents kids relationship magic twilight darkness,ja,千と千尋の神隠し,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,118.968562,20/07/2001,274925095,125,Released,Spirited Away,8.3,3840,Hayao Miyazaki,日本語,Japan,['Studio Ghibli']
185000000,http://thedarkknight.warnerbros.com/dvdsite/,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,16/07/2008,1004558444,152,Released,The Dark Knight,8.2,12002,Christopher Nolan,English,United Kingdom,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
185000000,http://thedarkknight.warnerbros.com/dvdsite/,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,16/07/2008,1004558444,152,Released,The Dark Knight,8.2,12002,Christopher Nolan,English, United States of America,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
185000000,http://thedarkknight.warnerbros.com/dvdsite/,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,16/07/2008,1004558444,152,Released,The Dark Knight,8.2,12002,Christopher Nolan, 普通话,United Kingdom,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
185000000,http://thedarkknight.warnerbros.com/dvdsite/,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,16/07/2008,1004558444,152,Released,The Dark Knight,8.2,12002,Christopher Nolan, 普通话, United States of America,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
85000000,http://www.warnerbros.co.uk/movies/oceans-eleven,161,prison pickpocket strip club con artist atlantic city,en,Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",60.929352,07/12/2001,450717150,116,Released,Ocean's Eleven,7.2,3783,Steven Soderbergh,Italiano,United States of America,"['Village Roadshow Pictures', 'Section Eight', 'NPV Entertainment', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films II']"
85000000,http://www.warnerbros.co.uk/movies/oceans-eleven,161,prison pickpocket strip club con artist atlantic city,en,Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",60.929352,07/12/2001,450717150,116,Released,Ocean's Eleven,7.2,3783,Steven Soderbergh, English,United States of America,"['Village Roadshow Pictures', 'Section Eight', 'NPV Entertainment', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films II']"
110000000,http://oceans12.warnerbros.com/,163,sequel faberg\u00e9 egg dutch eastindian company second part,en,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,09/12/2004,362744280,125,Released,Ocean's Twelve,6.4,2124,Steven Soderbergh,Français,United States of America,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films III']"
110000000,http://oceans12.warnerbros.com/,163,sequel faberg\u00e9 egg dutch eastindian company second part,en,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,09/12/2004,362744280,125,Released,Ocean's Twelve,6.4,2124,Steven Soderbergh, Italiano,United States of America,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films III']"
110000000,http://oceans12.warnerbros.com/,163,sequel faberg\u00e9 egg dutch eastindian company second part,en,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,09/12/2004,362744280,125,Released,Ocean's Twelve,6.4,2124,Steven Soderbergh, Nederlands,United States of America,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films III']"
110000000,http://oceans12.warnerbros.com/,163,sequel faberg\u00e9 egg dutch eastindian company second part,en,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,09/12/2004,362744280,125,Released,Ocean's Twelve,6.4,2124,Steven Soderbergh, 普通话,United States of America,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films III']"
110000000,http://oceans12.warnerbros.com/,163,sequel faberg\u00e9 egg dutch eastindian company second part,en,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,09/12/2004,362744280,125,Released,Ocean's Twelve,6.4,2124,Steven Soderbergh, English,United States of America,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films III']"
102000000,,180,self-fulfilling prophecy washington d.c. evidence future hologram,en,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",65.948959,20/06/2002,358372926,145,Released,Minority Report,7.1,2608,Steven Spielberg,English,United States of America,"['DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment', 'Twentieth Century Fox Film Corporation', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Digital Image Associates']"
102000000,,180,self-fulfilling prophecy washington d.c. evidence future hologram,en,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",65.948959,20/06/2002,358372926,145,Released,Minority Report,7.1,2608,Steven Spielberg, svenska,United States of America,"['DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment', 'Twentieth Century Fox Film Corporation', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Digital Image Associates']"
185000000,http://www.indianajones.com/site/index.html,217,saving the world riddle whip treasure mexico city,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,21/05/2008,786636033,122,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg,English,United States of America,"['Lucasfilm', 'Paramount Pictures']"
185000000,http://www.indianajones.com/site/index.html,217,saving the world riddle whip treasure mexico city,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,21/05/2008,786636033,122,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg, Deutsch,United States of America,"['Lucasfilm', 'Paramount Pictures']"
185000000,http://www.indianajones.com/site/index.html,217,saving the world riddle whip treasure mexico city,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,21/05/2008,786636033,122,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg, Pусский,United States of America,"['Lucasfilm', 'Paramount Pictures']"
